,PLN-MM/YY,Sales_Doc.,Item,V,Loaded_line,New_Plan,Sold_to_party,Country_Key,Destination,Material,CUST_THICKNESS,CUST_WIDTH,KS_GRADE01,ZINC01,Remain_GRF,Destination.1,Creation,CBE$,BM$,Demanded_Month,Plan_Month,order_item_type
14234,202504,30098281,30,3009828130,GI,2025 April,السویدى للصناعات الهندسیة سای,Egypt,Local,GHSF,2.5,1250.0,DX51D,60,15.0,High Tech industries,CPT,748.0,751.0,Apr,Apr,Small Item
14235,202502,30097229,30,3009722930,CR,2025 April,كومرشال موتورز لتجهيز السيارات,Egypt,Local,CRSF,1.0,1250.0,DC01,,31.22,High Tech industries,CPT,689.0,692.0,Feb,Apr,Small Item
14236,202502,30097683,60,3009768360,CR,2025 April,اتلانتك الهندسيه لتكنولوجيا,Egypt,Local,CRSF,0.5,620.0,DC01,,15.14,High Tech industries,CPT,757.0,760.0,Feb,Apr,Small Item
14237,202502,30095072,10,3009507210,CR,2025 April,المالكي ستيل,Egypt,Local,CRRF,0.5,97.0,M1050-50D,,15.0,Service Center,EXW,762.0,,Feb,Apr,Small Item
14238,202503,35006492,10,3500649210,GI,2025 April,الزامل للهايكل الفولاذية,Egypt,Local,GCRF,1.5,345.0,S350GD,275,215.98,Middle East,CPT,800.0,800.0,Mar,Apr,Large Item
14239,202504,35006541,10,3500654110,GI,2025 April,MAJI WATER STORAGE,Kenya,Export,GCSF,0.8,910.0,S280GD,275,14.86,Africa,CFR,1075.0,1075.0,Apr,Apr,Small Item
14240,202504,35006541,20,3500654120,GI,2025 April,MAJI WATER STORAGE,Kenya,Export,GCSF,1.0,910.0,S280GD,275,10.0,Africa,CFR,1075.0,1075.0,Apr,Apr,Small Item
14241,202504,35006541,30,3500654130,GI,2025 April,MAJI WATER STORAGE,Kenya,Export,GCSF,1.2,910.0,S280GD,275,20.0,Africa,CFR,1075.0,1075.0,Apr,Apr,Small Item
14242,202501,30092581,40,3009258140,PP,2025 April,فریش الیكتریك  للاجهزه المنزلیة,Egypt,Local,POSF,0.5,631.5,DX51D,100,8.72,Large Corporate,CPT,1156.0,1160.0,Jan,Apr,Small Item
14243,202502,30093729,10,3009372910,GI,2025 April,فریش الیكتریك  للاجهزه المنزلیة,Egypt,Local,GCSF,0.6,764.7,DX51D,100,74.23,Large Corporate,,766.0,769.0,Feb,Apr,Medium Item
14244,202502,30093729,20,3009372920,GI,2025 April,فریش الیكتریك  للاجهزه المنزلیة,Egypt,Local,GCSF,0.6,734.8,DX51D,100,16.42,Large Corporate,CPT,766.0,769.0,Feb,Apr,Small Item
14245,202504,35006561,10,3500656110,CR,2025 April,Peter Cramer GMBH,Tunisia,Export,CRCF,0.48,1000.0,DC01,,45.0,Middle East,,,690.0,Apr,Apr,Small Item
14246,202504,35006561,20,3500656120,CR,2025 April,Peter Cramer GMBH,Tunisia,Export,CRCF,1.4,1000.0,DC01,,35.0,Middle East,CFR,690.0,690.0,Apr,Apr,Small Item
14247,202502,30096152,20,3009615220,GI,2025 April,مؤسسة خضر تراست للتكييف,Egypt,Local,GCCF,0.8,1250.0,DX51D,275,31.54,Corporate,CPT,899.0,902.0,Feb,Apr,Small Item
14248,202504,35006496,10,3500649610,GI,2025 April,Steel and Tube Industries Ltd,Uganda,Export,GHSF,2.0,1219.0,,120,14.3,Africa,CFR,1010.0,1010.0,Apr,Apr,Small Item
14249,202501,30091959,30,3009195930,GI,2025 April,مؤسسه المصطفى لتجارة الحديد,Egypt,Local,GCCF,1.2,1000.0,DX51D,60,20.0,Stocking and Distrib,EXW,741.0,744.0,Jan,Apr,Small Item
14250,202503,30096907,10,3009690710,PP,2025 April,موج للهندسة و الصناعة,Egypt,Local,POCF,0.5,1250.0,DX51D,180,200.0,Corporate,CPT,1024.0,1028.0,Mar,Apr,Large Item
14251,202502,30093301,150,30093301150,PP,2025 April,مؤسسه المصطفى لتجارة الحديد,Egypt,Local,POCF,0.5,1250.0,DX51D,120,20.0,Stocking and Distrib,EXW,236.0,237.0,Feb,Apr,Small Item
14252,202501,30095738,370,30095738370,CR,2025 April,اتلانتك الهندسيه لتكنولوجيا,Egypt,Local,CRSF,0.4,556.0,,,6.0,High Tech industries,CPT,746.0,749.0,Jan,Apr,Small Item
14253,202502,30097683,40,3009768340,CR,2025 April,اتلانتك الهندسيه لتكنولوجيا,Egypt,Local,CRSF,0.5,,DC01,,38.3,High Tech industries,CPT,757.0,760.0,Feb,Apr,Small Item
14254,202503,30096975,30,3009697530,CR,2025 April,جرایف ایجیبت,Egypt,Local,CRCF,0.94,1291.0,DC01,,132.89,Large Corporate,CPT,783.0,786.0,Mar,Apr,Medium Item
14255,202503,30096975,60,3009697560,GI,2025 April,جرایف ایجیبت,Egypt,Local,GCSF,0.5,1250.0,DX51D,150,30.0,Large Corporate,CPT,886.0,889.0,Mar,Apr,Small Item
14256,202503,30096975,90,3009697590,GI,2025 April,جرایف ایجیبت,Egypt,Local,GCRF,0.9,25.0,DX51D,150,20.0,Large Corporate,CPT,886.0,889.0,Mar,Apr,Small Item
14257,202503,30096975,70,3009697570,CR,2025 April,جرایف ایجیبت,Egypt,Local,CRCF,0.65,1005.0,DC01,,26.2,Large Corporate,CPT,783.0,,Mar,Apr,Small Item
14258,202504,35006554,20,3500655420,GI,2025 April,"SUNSHINE LIGHTING CO., LTD",Uganda,Export,GCRF,0.8,200.4,DX51D,120,12.5,Africa,CPT,1050.0,1050.0,Apr,Apr,Small Item
14259,202505,35006535,10,3500653510,CR,2025 April,TAMETAL S.A,Spain,Export,CRCF,0.9,1250.0,DC01,,1500.0,Europe,CIF,665.0,665.0,May,Apr,Large Item
14260,202505,35006535,20,3500653520,CR,2025 April,TAMETAL S.A,Spain,Export,CRCF,0.95,1250.0,DC01,,500.0,Europe,CIF,665.0,665.0,May,Apr,Large Item
14261,202501,30095625,90,3009562590,GI,2025 April,راية اليكتريك للتصنيع,Egypt,Local,GCSF,0.6,932.0,DX53D,80,69.35,Corporate,CPT,963.0,967.0,Jan,Apr,Medium Item
14262,202501,30095625,40,3009562540,GI,2025 April,راية اليكتريك للتصنيع,Egypt,Local,GCSF,0.6,546.0,DX53D,120,22.0,Corporate,CPT,993.0,997.0,Jan,Apr,Small Item
14263,202501,30095625,10,3009562510,GI,2025 April,راية اليكتريك للتصنيع,Egypt,Local,GCSF,0.6,843.6,DX53D,80,33.965,Corporate,CPT,954.0,957.0,Jan,Apr,Small Item
14264,202504,30099363,10,3009936310,CR,2025 April,مصنع بریفكس - طارق ابو العزم,Egypt,Local,CRCF,0.4,1250.0,DC01,,60.0,Corporate,CPT,702.0,705.0,Apr,Apr,Medium Item
14265,202503,35006506,60,3500650660,GI,2025 April,NATIONWIDE ELECTRICAL INDUSTRIES LT,Kenya,Export,GHSF,2.0,1220.0,DX51D,120,17.83,Africa,CFR,950.0,950.0,Mar,Apr,Small Item
14266,202503,30096953,10,3009695310,GI,2025 April,شركة ايفرست مصر للصناعة,Egypt,Local,GCCF,1.8,1220.0,DX51D,80,50.0,Large Corporate,CPT,770.0,773.0,Mar,Apr,Medium Item
14267,202503,30096953,20,3009695320,GI,2025 April,شركة ايفرست مصر للصناعة,Egypt,Local,GCCF,1.2,1220.0,DX51D,80,75.0,Large Corporate,CPT,779.0,782.0,Mar,Apr,Medium Item
14268,202503,30096953,30,3009695330,GI,2025 April,شركة ايفرست مصر للصناعة,Egypt,Local,GCCF,0.7,1250.0,DX51D,80,50.0,Large Corporate,CPT,798.0,,Mar,Apr,Medium Item
14269,202503,35006428,20,3500642820,CR,2025 April,Eusider SpA,Italy,Export,CRNF,0.3,720.0,DC03,,15.54,Europe,CFR,730.0,,Mar,Apr,Small Item
14270,202504,35006556,10,3500655610,CR,2025 April,Angel Stoilov 96 JSC,Bulgaria,Export,CRCF,0.25,,DC01,,150.0,Europe,CIF,750.0,750.0,Apr,Apr,Medium Item
14271,202502,30094546,80,3009454680,PP,2025 April,فریش الیكتریك  للاجهزه المنزلیة,Egypt,Local,PORF,0.4,578.0,DX51D,100,24.0,Large Corporate,CPT,1102.0,1107.0,Feb,Apr,Small Item
14272,202502,30094546,50,3009454650,PP,2025 April,فریش الیكتریك  للاجهزه المنزلیة,Egypt,Local,PONF,0.4,737.5,DX51D,100,10.47,Large Corporate,CPT,1102.0,1107.0,Feb,Apr,Small Item
14273,202501,30091819,290,30091819290,PP,2025 April,ستى ستيل للتجارة و التوريدات,Egypt,Local,POCF,0.5,1250.0,DX51D,180,214.0,Service Center,EXW,960.0,964.0,Jan,Apr,Large Item
14274,202502,30093313,30,3009331330,GI,2025 April,شركة الشرق لتشغيل المعادن,Egypt,Local,GHCF,1.5,1000.0,DX51D,60,23.94,Service Center,EXW,717.0,720.0,Feb,Apr,Small Item
14275,202502,30093313,50,3009331350,GI,2025 April,شركة الشرق لتشغيل المعادن,Egypt,Local,GHCF,2.0,1250.0,DX51D,60,11.29,Service Center,EXW,702.0,705.0,Feb,Apr,Small Item
14276,202502,30093313,140,30093313140,GI,2025 April,شركة الشرق لتشغيل المعادن,Egypt,Local,GCCF,0.7,1000.0,DX51D,60,32.69,Service Center,EXW,737.0,740.0,Feb,Apr,Small Item
14277,202502,30093313,160,30093313160,GI,2025 April,شركة الشرق لتشغيل المعادن,Egypt,Local,GCCF,0.7,1250.0,DX51D,275,28.04,Service Center,EXW,881.0,885.0,Feb,Apr,Small Item
14278,202502,30093313,170,30093313170,GI,2025 April,شركة الشرق لتشغيل المعادن,Egypt,Local,GCCF,0.7,1250.0,DX51D,330,50.0,Service Center,EXW,919.0,922.0,Feb,Apr,Medium Item
14279,202502,30093313,180,30093313180,GI,2025 April,شركة الشرق لتشغيل المعادن,Egypt,Local,GCCF,0.8,1250.0,DX51D,275,58.4,Service Center,EXW,860.0,863.0,Feb,Apr,Medium Item
14280,202411,30092477,270,30092477270,GI,2025 April,شركة بي اس اتش للاجهزة المنزلية,Egypt,Local,GCSF,0.7,872.0,DX53D,100,32.5,Large Corporate,CPT,769.0,772.0,Nov,Apr,Small Item
14281,202504,30097058,10,3009705810,GI,2025 April,جالفا دكت لتشغيل المعادن,Egypt,Local,GCCF,0.7,1250.0,DX51D,275,20.0,Service Center,EXW,903.0,907.0,Apr,Apr,Small Item
14282,202504,30097058,20,3009705820,GI,2025 April,جالفا دكت لتشغيل المعادن,Egypt,Local,GCCF,0.8,1250.0,DX51D,275,20.0,Service Center,,884.0,887.0,Apr,Apr,Small Item
14283,202502,30096672,70,3009667270,CR,2025 April,اتلانتك الهندسيه لتكنولوجيا,Egypt,Local,CRSF,0.6,723.0,DC01,,3.925,High Tech industries,CPT,746.0,749.0,Feb,Apr,Small Item
14284,202502,30097683,20,3009768320,CR,2025 April,اتلانتك الهندسيه لتكنولوجيا,Egypt,Local,CRSF,0.5,817.0,DC01,,20.0,High Tech industries,CPT,757.0,760.0,Feb,Apr,Small Item
14285,202502,30097683,50,3009768350,CR,2025 April,اتلانتك الهندسيه لتكنولوجيا,Egypt,Local,CRSF,0.5,721.0,DC01,,50.0,High Tech industries,CPT,757.0,,Feb,Apr,Medium Item
14286,202502,30096672,40,3009667240,CR,2025 April,اتلانتك الهندسيه لتكنولوجيا,Egypt,Local,CRSF,0.6,992.0,DC01,,9.62,High Tech industries,CPT,746.0,749.0,Feb,Apr,Small Item
14287,202502,30096672,10,3009667210,CR,2025 April,اتلانتك الهندسيه لتكنولوجيا,Egypt,Local,CRSF,0.6,,,,21.105,High Tech industries,CPT,746.0,749.0,Feb,Apr,Small Item
14288,202504,35006553,10,3500655310,GI,2025 April,الزامل للهايكل الفولاذية,Egypt,Local,GCRF,1.5,345.0,S350GD,275,200.0,Large Corporate,CPT,800.0,800.0,Apr,Apr,Large Item
14289,202504,35006553,30,3500655330,GI,2025 April,الزامل للهايكل الفولاذية,Egypt,Local,GHRF,2.0,345.0,S350GD,275,150.0,Large Corporate,CPT,800.0,800.0,Apr,Apr,Medium Item
